address_line,city,country_name,country_subdivision,country_urlname,global_rank,id,name,overall_rank_is_tied,rank,rank_is_tied,score,sort_label,url,urlname
Beijing,Beijing,China,,china,472.0,500688,China Agricultural University,True,2,False,90.1,Subject Score,https://www.usnews.com/education/best-global-universities/china-agricultural-university-500688,china-agricultural-university
"Guangzhou, Guangdong",Guangzhou,China,Guangdong,china,336.0,505115,South China University of Technology,True,5,True,85.7,Subject Score,https://www.usnews.com/education/best-global-universities/south-china-university-of-technology-505115,south-china-university-of-technology
"Wuxi, Jiangsu",Wuxi,China,Jiangsu,china,715.0,504800,Jiangnan University,True,7,False,85.4,Subject Score,https://www.usnews.com/education/best-global-universities/jiangnan-university-504800,jiangnan-university
"Nanjing, Jiangsu",Nanjing,China,Jiangsu,china,663.0,506399,Nanjing Agricultural University,True,9,False,81.8,Subject Score,https://www.usnews.com/education/best-global-universities/nanjing-agricultural-university-506399,nanjing-agricultural-university
"Hangzhou, Zhejiang",Hangzhou,China,Zhejiang,china,157.0,504773,Zhejiang University,False,11,False,79.3,Subject Score,https://www.usnews.com/education/best-global-universities/zhejiang-university-504773,zhejiang-university
"Nanchang, Jiangxi",Nanchang,China,Jiangxi,china,904.0,529112,Nanchang University,True,20,False,74.5,Subject Score,https://www.usnews.com/education/best-global-universities/nanchang-university-529112,nanchang-university
"Yangling, Shaanxi",Yangling,China,Shaanxi,china,841.0,503600,Northwest A&F University - China,True,22,True,73.5,Subject Score,https://www.usnews.com/education/best-global-universities/northwest-af-university-china-503600,northwest-af-university-china
Jeddah,Jeddah,Saudi Arabia,,saudi-arabia,51.0,501597,King Abdulaziz University,True,39,False,69.0,Subject Score,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597,king-abdulaziz-university
"Serdang, Selangor",Serdang,Malaysia,Selangor,malaysia,611.0,500789,Universiti Putra Malaysia,True,42,True,68.5,Subject Score,https://www.usnews.com/education/best-global-universities/universiti-putra-malaysia-500789,universiti-putra-malaysia
,Singapore,Singapore,,singapore,34.0,505009,National University of Singapore,True,45,True,67.6,Subject Score,https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009,national-university-of-singapore
